id,caller_id,agent_id,complaint_topic,assigned_to,status,resolution_duration_in_hours
513,CALLER_513,155,Misplaced order,143,Pending,
514,CALLER_514,132,Inadequate product instructions,156,Closed,23
515,CALLER_515,178,Incorrect charges,129,Resolved,
516,CALLER_516,162,Slow response time,N/A,Closed,39
517,CALLER_517,135,Unhelpful support,162,Closed,4
518,CALLER_518,154,Product not as described,180,New,
519,CALLER_519,150,Long wait time,144,Closed,35
520,CALLER_520,170,Slow response time,178,Pending,
521,CALLER_521,158,Package never arrived,N/A,New,
522,CALLER_522,133,Incorrect order,N/A,Closed,46
523,CALLER_523,123,Wrong item received,N/A,Closed,20
524,CALLER_524,150,Inadequate product instructions,N/A,Closed,16
525,CALLER_525,137,Lack of follow-up,177,Closed,19
526,CALLER_526,146,Difficulty cancelling subscription,166,Closed,8
527,CALLER_527,180,Inadequate product instructions,123,New,
528,CALLER_528,150,Inadequate product instructions,125,Resolved,
529,CALLER_529,168,Inadequate product instructions,130,Pending,
530,CALLER_530,179,Incorrect charges,N/A,New,
531,CALLER_531,165,Lack of follow-up,N/A,Closed,44
532,CALLER_532,165,Refund not processed,129,Resolved,
533,CALLER_533,144,Shipping delay,172,Pending,
534,CALLER_534,176,Product not as described,140,Resolved,
535,CALLER_535,162,Wrong item received,152,Pending,
536,CALLER_536,157,Wrong item received,138,Closed,26
537,CALLER_537,124,Lack of follow-up,N/A,Pending,
538,CALLER_538,140,Incorrect charges,157,Closed,48
539,CALLER_539,181,Website not working,123,Pending,
540,CALLER_540,171,Slow response time,N/A,Resolved,
541,CALLER_541,137,Product damaged during shipping,156,Pending,
542,CALLER_542,153,Wrong item received,123,Pending,
543,CALLER_543,153,Incorrect charges,N/A,Closed,11
544,CALLER_544,169,Unauthorized charges,N/A,Closed,39
545,CALLER_545,176,Inaccurate information provided,178,Closed,9
546,CALLER_546,125,Difficulty reaching customer support,173,Pending,
547,CALLER_547,165,Inaccurate information provided,N/A,Pending,
548,CALLER_548,124,Unprofessional behavior,N/A,Pending,
549,CALLER_549,170,Billing discrepancy,133,Pending,
550,CALLER_550,177,Long wait time,132,Pending,
551,CALLER_551,145,Website not working,171,Closed,31
552,CALLER_552,149,Product not as described,N/A,Closed,37
553,CALLER_553,171,Unhelpful support,156,Resolved,
554,CALLER_554,147,Website not working,N/A,Closed,32
555,CALLER_555,124,Incorrect order,172,Pending,
556,CALLER_556,125,Product damaged during shipping,164,Closed,25
557,CALLER_557,142,Unsatisfactory resolution,123,New,
558,CALLER_558,181,Long wait time,140,Pending,
559,CALLER_559,136,Poor communication,N/A,New,
560,CALLER_560,174,Poor quality product,135,Resolved,
561,CALLER_561,176,Unauthorized charges,N/A,Resolved,
562,CALLER_562,141,Product not as described,N/A,New,
563,CALLER_563,157,Package delivered to wrong address,N/A,Closed,31
564,CALLER_564,170,Unresolved issue,126,New,
565,CALLER_565,172,Incorrect order,152,Pending,
566,CALLER_566,141,Incorrect charges,N/A,Closed,19
567,CALLER_567,157,Inadequate product instructions,N/A,Closed,14
568,CALLER_568,154,Lost package,163,Closed,39
569,CALLER_569,178,Package never arrived,N/A,Pending,
570,CALLER_570,131,Difficulty getting a refund,173,Pending,
571,CALLER_571,141,Incorrect charges,167,Resolved,
572,CALLER_572,126,Product not delivered,154,Closed,23
573,CALLER_573,137,Shipping delay,N/A,Closed,16
574,CALLER_574,147,Lack of follow-up,N/A,Closed,33
575,CALLER_575,180,Wrong item received,175,Closed,25
576,CALLER_576,153,Long wait time,180,Closed,42
577,CALLER_577,159,Unsatisfactory resolution,N/A,New,
578,CALLER_578,172,Lost package,N/A,Closed,32
579,CALLER_579,166,Wrong item received,177,Closed,7
580,CALLER_580,130,Wrong item received,N/A,Pending,
581,CALLER_581,131,Product not delivered,168,Closed,31
582,CALLER_582,130,Unsatisfactory resolution,N/A,Closed,36
583,CALLER_583,147,Unsatisfactory resolution,145,New,
584,CALLER_584,158,Shipping delay,N/A,Pending,
585,CALLER_585,144,Billing discrepancy,152,Closed,45
586,CALLER_586,154,Incorrect charges,N/A,Closed,43
587,CALLER_587,139,Unauthorized charges,N/A,Pending,
588,CALLER_588,164,Inaccurate information provided,147,Pending,
589,CALLER_589,142,Lack of follow-up,143,New,
590,CALLER_590,152,Rude customer service representative,154,Pending,
591,CALLER_591,129,Incorrect charges,181,Closed,36
592,CALLER_592,127,Difficulty reaching customer support,152,Closed,23
593,CALLER_593,171,Inadequate product instructions,144,New,
594,CALLER_594,121,Package never arrived,158,Pending,
595,CALLER_595,180,Difficulty getting a refund,N/A,New,
596,CALLER_596,137,Unhelpful support,169,New,
597,CALLER_597,159,Slow response time,N/A,Resolved,
598,CALLER_598,148,Shipping delay,150,Pending,
599,CALLER_599,161,Website not working,148,Pending,
600,CALLER_600,127,Wrong item received,149,Resolved,
